Running experiments with 1000 iterations, varying N from 10 to 10,000 and seed token 1729
Running klev variant 0 with N=6000, sparsity=2, seed=1729...
      Average Passes: 4.04, Time/Memory: 83.52,7052
Running klev variant N with N=6000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 52.62,10056
Running kpath variant 0 with N=7000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 56.95,13008
Running kpath variant N with N=7000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 47.85,13960
Running klev variant 0 with N=7000, sparsity=2, seed=1729...
      Average Passes: 4.06, Time/Memory: 101.41,7544
Running klev variant N with N=7000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 63.84,10692
Running kpath variant 0 with N=8000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 74.95,14472
Running kpath variant N with N=8000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 61.39,14856
Running klev variant 0 with N=8000, sparsity=2, seed=1729...
      Average Passes: 4.06, Time/Memory: 136.14,7708
Running klev variant N with N=8000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 70.78,12852
Running kpath variant 0 with N=9000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 95.14,15876
Running kpath variant N with N=9000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 60.38,16796
Running klev variant 0 with N=9000, sparsity=2, seed=1729...
      Average Passes: 4.09, Time/Memory: 170.60,8624
Running klev variant N with N=9000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 80.35,12476
Running kpath variant 0 with N=10000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 93.13,17200
Running kpath variant N with N=10000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 72.75,17796
Running klev variant 0 with N=10000, sparsity=2, seed=1729...
      Average Passes: 4.06, Time/Memory: 182.66,8644
Running klev variant N with N=10000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 92.86,14448
Running kpath variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,4016
Running kpath variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3816
Running klev variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,3852
Running klev variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3928
Running kpath variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.05,3856
Running kpath variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3868
Running klev variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.06,3924
Running klev variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,3936
Running kpath variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.08,3868
Running kpath variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,3844
Running klev variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.13,3952
Running klev variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.07,3924
Running kpath variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.12,3956
Running kpath variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.09,3880
Running klev variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 3.05, Time/Memory: 0.20,3864
Running klev variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.10,3748
Running kpath variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.19,3992
Running kpath variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.13,3892
Running klev variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 3.07, Time/Memory: 0.27,3960
Running klev variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.14,3944
Running kpath variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.23,3800
Running kpath variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.16,3888
Running klev variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 3.08, Time/Memory: 0.36,3752
Running klev variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.18,3948
Running kpath variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.29,4028
Running kpath variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.20,4008
Running klev variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 3.1, Time/Memory: 0.45,3968
Running klev variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.22,3780
Running kpath variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.36,4020
Running kpath variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.22,4012
Running klev variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 3.1, Time/Memory: 0.47,3952
Running klev variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.25,3908
Running kpath variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.53,4036
Running kpath variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.48,3968
Running klev variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.15, Time/Memory: 0.68,3980
Running klev variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.33,3976
Running kpath variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.70,3972
Running kpath variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.56,4080
Running klev variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.15, Time/Memory: 0.78,3888
Running klev variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.37,4088
Running kpath variant 0 with N=150, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.04,4132
Running kpath variant N with N=150, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.95,3900
Running klev variant 0 with N=150, sparsity=3, seed=1729...
      Average Passes: 3.2, Time/Memory: 1.28,3804
Running klev variant N with N=150, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.69,4152
Running kpath variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.64,4180
Running kpath variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.55,4020
Running klev variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.24, Time/Memory: 2.28,4072
Running klev variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.06,3908
Running kpath variant 0 with N=250, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 2.65,4148
Running kpath variant N with N=250, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.07,4392
Running klev variant 0 with N=250, sparsity=3, seed=1729...
      Average Passes: 3.26, Time/Memory: 3.33,4044
Running klev variant N with N=250, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.41,3952
Running kpath variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 3.16,4136
Running kpath variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.69,4352
Running klev variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.3, Time/Memory: 4.42,4000
Running klev variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.98,4312
Running kpath variant 0 with N=350, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 4.12,4316
Running kpath variant N with N=350, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.42,4220
Running klev variant 0 with N=350, sparsity=3, seed=1729...
      Average Passes: 3.32, Time/Memory: 5.45,4092
Running klev variant N with N=350, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.47,4240
Running kpath variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 4.97,4388
Running kpath variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 4.15,4484
Running klev variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.31, Time/Memory: 6.20,4144
Running klev variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.07,4288
Running kpath variant 0 with N=450, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 6.27,4540
Running kpath variant N with N=450, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 4.82,4652
Running klev variant 0 with N=450, sparsity=3, seed=1729...
      Average Passes: 3.32, Time/Memory: 8.05,4204
Running klev variant N with N=450, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.65,4348
Running kpath variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 7.36,4596
Running kpath variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 5.68,4556
Running klev variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.38, Time/Memory: 8.18,4116
Running klev variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.75,4264
Running kpath variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 9.23,4660
Running kpath variant N with N=600, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 7.50,4792
Running klev variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 3.38, Time/Memory: 12.63,4064
Running klev variant N with N=600, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 5.58,4360
Running kpath variant 0 with N=700, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 12.11,4804
Running kpath variant N with N=700, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 9.45,4928
Running klev variant 0 with N=700, sparsity=3, seed=1729...
      Average Passes: 3.41, Time/Memory: 16.54,4324
Running klev variant N with N=700, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 7.06,4576
Running kpath variant 0 with N=800, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 14.31,5004
Running kpath variant N with N=800, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 10.18,4980
Running klev variant 0 with N=800, sparsity=3, seed=1729...
      Average Passes: 3.43, Time/Memory: 18.63,4280
Running klev variant N with N=800, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 8.70,4480
Running kpath variant 0 with N=900, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 16.99,5140
Running kpath variant N with N=900, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 11.41,5244
Running klev variant 0 with N=900, sparsity=3, seed=1729...
      Average Passes: 3.46, Time/Memory: 24.27,4412
Running klev variant N with N=900, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 10.28,4672
Running kpath variant 0 with N=1000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 20.31,5096
Running kpath variant N with N=1000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 13.50,5360
Running klev variant 0 with N=1000, sparsity=3, seed=1729...
      Average Passes: 3.49, Time/Memory: 28.44,4380
Running klev variant N with N=1000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 12.18,4724
Running kpath variant 0 with N=1200, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 26.93,5376
Running kpath variant N with N=1200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 21.01,5540
Running klev variant 0 with N=1200, sparsity=3, seed=1729...
      Average Passes: 3.52, Time/Memory: 38.40,4388
Running klev variant N with N=1200, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 15.63,4816
Running kpath variant 0 with N=1400, sparsity=3, seed=1729...
